Designator; MPN;Qty;Link
J1;629105150521;1;https://www.digikey.se/product-detail/sv/wurth-electronics-inc/629105150521/732-5960-1-ND/5047555
U1;MCP73831T-2ACI/OT;1;https://www.digikey.se/product-detail/sv/microchip-technology/MCP73831T-2ACI-OT/MCP73831T-2ACI-OTCT-ND/1979802
R2; CR0603-JW-471ELF ;1;https://www.digikey.se/product-detail/sv/bourns-inc/CR0603-JW-471ELF/CR0603-JW-471ELFCT-ND/3740990
D1; SML-D12U1WT86 ;1;https://www.digikey.se/product-detail/sv/rohm-semiconductor/SML-D12U1WT86/SML-D12U1WT86CT-ND/5843858
J2; SM02B-ZESS-TB(LF)(SN) ;1;https://www.digikey.se/product-detail/sv/jst-sales-america-inc/SM02B-ZESS-TB-LF-SN/455-2395-1-ND/1887048
C1, C2, C4; CL10A106MQ8NNNC ;3;https://www.digikey.se/product-detail/sv/samsung-electro-mechanics/CL10A106MQ8NNNC/1276-1119-1-ND/3889205
R3; RMCF0603JT470R ;1;https://www.digikey.se/product-detail/sv/stackpole-electronics-inc/RMCF0603JT470R/RMCF0603JT470RCT-ND/1943166
D2; SML-D12M1WT86 ;1;https://www.digikey.se/product-detail/sv/rohm-semiconductor/SML-D12M1WT86/SML-D12M1WT86CT-ND/5843861
U2; LD1117S33CTR;1;https://www.digikey.se/product-detail/sv/stmicroelectronics/LD1117S33CTR/497-1241-1-ND/586241
C3, C5; CL10B104KO8NNNC;2;https://www.digikey.se/product-detail/sv/samsung-electro-mechanics/CL10B104KO8NNNC/1276-1005-1-ND/3889091
S1, S2;EG1218;2;https://www.mouser.se/ProductDetail/E-Switch/EG1218A?qs=%2fha2pyFaduhORcBSqL2hUV7Zf6JyXyKXcYnWodrBImw%3d
U4;ESP-12F(ESP8266MOD);1;https://lcsc.com/product-detail/WIFI-Modules_ESP-12F-ESP8266MOD_C82891.html
SW1, SW2, SW3; 1825910-6 ;3;https://www.digikey.se/product-detail/sv/te-connectivity-alcoswitch-switches/1825910-6/450-1650-ND/1632536
R4, R12; RMCF0603JJ1K00 ;2;https://www.digikey.se/product-detail/sv/stackpole-electronics-inc/RMCF0603JJ1K00/RMCF0603JJ1K00CT-ND/6053833
R1, R5; CR0603-JW-202ELF ;2;https://www.digikey.se/product-detail/sv/bourns-inc/CR0603-JW-202ELF/CR0603-JW-202ELFCT-ND/3925347
R6; CR0603-JW-221GLF ;1;https://www.digikey.se/product-detail/sv/bourns-inc/CR0603-JW-221GLF/CR0603-JW-221GLFCT-ND/3925351
R8, R9, R10, R11, R13, R14, R15, R16; RMCF0603JT10K0 ;8;https://www.digikey.se/product-detail/sv/stackpole-electronics-inc/RMCF0603JT10K0/RMCF0603JT10K0CT-ND/1943191
D3, D4, D5, D6; IN-S63AT5UW ;4;https://www.digikey.se/product-detail/sv/inolux/IN-S63AT5UW/1830-1063-1-ND/7604706
R7; RMCF0603JT470R ;1;https://www.digikey.se/product-detail/sv/stackpole-electronics-inc/RMCF0603JT470R/RMCF0603JT470RCT-ND/1943166
RV1;TC33X-2-103G ;1;https://www.digikey.se/product-detail/sv/bourns-inc/TC33X-2-103E/TC33X-103ECT-ND/612911